Owner,Name,Stars,Url,CreatedAt,IdadeAnos
ryanmcdermott,clean-code-javascript,93862,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,8.83
pytorch,pytorch,93567,https://github.com/pytorch/pytorch,2016-08-13T05:26:41Z,9.08
neovim,neovim,93082,https://github.com/neovim/neovim,2014-01-31T13:39:22Z,11.67
iluwatar,java-design-patterns,92775,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,11.08
mtdvio,every-programmer-should-know,92689,https://github.com/mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,8.08
puppeteer,puppeteer,92475,https://github.com/puppeteer/puppeteer,2017-05-09T22:16:13Z,8.33
microsoft,Web-Dev-For-Beginners,92102,https://github.com/microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,4.83
deepseek-ai,DeepSeek-R1,91207,https://github.com/deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,0.67
tailwindlabs,tailwindcss,90365,https://github.com/tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,7.92
PanJiaChen,vue-element-admin,89915,https://github.com/PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,8.42
fastapi,fastapi,89914,https://github.com/fastapi/fastapi,2018-12-08T08:21:47Z,6.75
comfyanonymous,ComfyUI,89600,https://github.com/comfyanonymous/ComfyUI,2023-01-17T03:15:56Z,2.67
supabase,supabase,89258,https://github.com/supabase/supabase,2019-10-12T05:56:49Z,5.92
jaywcjlove,awesome-mac,88944,https://github.com/jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,9.17
openai,whisper,88785,https://github.com/openai/whisper,2022-09-16T20:02:54Z,3.00
x1xhlol,system-prompts-and-models-of-ai-tools,88411,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,0.50
storybookjs,storybook,87836,https://github.com/storybookjs/storybook,2016-03-18T04:23:44Z,9.50
2dust,v2rayN,87376,https://github.com/2dust/v2rayN,2019-07-30T03:47:24Z,6.17
nvm-sh,nvm,87207,https://github.com/nvm-sh/nvm,2010-04-15T17:47:47Z,15.42
ggml-org,llama.cpp,87037,https://github.com/ggml-org/llama.cpp,2023-03-10T18:58:00Z,2.50
gin-gonic,gin,86039,https://github.com/gin-gonic/gin,2014-06-16T23:57:25Z,11.25
ChatGPTNextWeb,NextChat,85963,https://github.com/ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,2.50
florinpop17,app-ideas,85768,https://github.com/florinpop17/app-ideas,2019-02-25T18:36:56Z,6.58
bitcoin,bitcoin,85743,https://github.com/bitcoin/bitcoin,2010-12-19T15:16:43Z,14.75
django,django,85259,https://github.com/django/django,2012-04-28T02:47:18Z,13.42
